HouseholdID,Longitude,Latitude,N,order,cluster,latmean,lngmean
GN36,34.14740192,-0.404565629,16,1373,28,-0.405157121,34.15215081
GN37,34.1474146,-0.404143829,7,1374,28,-0.405157121,34.15215081
GN38,34.14708603,-0.403737891,4,1375,28,-0.405157121,34.15215081
GN45,34.14754646,-0.403279596,4,1376,28,-0.405157121,34.15215081
GN46,34.1476938,-0.402969518,6,1377,28,-0.405157121,34.15215081
GN47,34.14802687,-0.403405852,6,1378,28,-0.405157121,34.15215081
GN14,34.1483818,-0.403223402,20,1379,28,-0.405157121,34.15215081
GN65,34.14744336,-0.401979429,6,1380,28,-0.405157121,34.15215081
GN64,34.14800228,-0.401660558,7,1381,28,-0.405157121,34.15215081
GN48,34.14868039,-0.401324307,4,1382,28,-0.405157121,34.15215081
GN09,34.14993887,-0.402454202,9,1383,28,-0.405157121,34.15215081
GN67,34.15207575,-0.402568731,5,1384,28,-0.405157121,34.15215081
GN49,34.1524949,-0.404447314,5,1385,28,-0.405157121,34.15215081
GN01,34.15302333,-0.404355898,21,1386,28,-0.405157121,34.15215081
GN03,34.15448947,-0.403609316,7,1387,28,-0.405157121,34.15215081
GN02,34.1548212,-0.403662021,9,1388,28,-0.405157121,34.15215081
GN68,34.15511927,-0.403408676,2,1389,28,-0.405157121,34.15215081
DA10,34.15692419,-0.40473533,16,1390,28,-0.405157121,34.15215081
DA09,34.1568963,-0.405236392,6,1391,28,-0.405157121,34.15215081
DA30,34.15668587,-0.405192004,6,1392,28,-0.405157121,34.15215081
DA08,34.1565125,-0.405207063,5,1393,28,-0.405157121,34.15215081
DA14,34.1557501,-0.406627599,10,1394,28,-0.405157121,34.15215081
DA15,34.15645736,-0.406875567,10,1395,28,-0.405157121,34.15215081
DA21,34.15676122,-0.40635088,16,1396,28,-0.405157121,34.15215081
DA22,34.15720721,-0.406746972,8,1397,28,-0.405157121,34.15215081
DA23,34.15754107,-0.406555129,8,1398,28,-0.405157121,34.15215081
DA16,34.15795776,-0.406504916,8,1399,28,-0.405157121,34.15215081
DA12,34.15845019,-0.405968879,1,1400,28,-0.405157121,34.15215081
DA13,34.15825267,-0.406339076,7,1401,28,-0.405157121,34.15215081
DA20,34.15836031,-0.407324576,8,1402,28,-0.405157121,34.15215081
DA18,34.15763744,-0.408486504,7,1403,28,-0.405157121,34.15215081
DA17,34.1584046,-0.407955583,6,1404,28,-0.405157121,34.15215081
DA85,34.15803451,-0.409727419,6,1405,28,-0.405157121,34.15215081
DA19,34.15890323,-0.410242075,8,1406,28,-0.405157121,34.15215081
GA13,34.15891977,-0.411131969,5,1407,28,-0.405157121,34.15215081
GA27,34.15863562,-0.411709774,3,1408,29,-0.408679607,34.16141958
DA86,34.15780099,-0.411252529,6,1409,29,-0.408679607,34.16141958
GA11,34.15820956,-0.412437281,13,1410,29,-0.408679607,34.16141958
GA12,34.15856467,-0.412845977,8,1411,29,-0.408679607,34.16141958
GA20,34.15912987,-0.412458383,7,1412,29,-0.408679607,34.16141958
DA81,34.16401298,-0.417149738,10,1413,29,-0.408679607,34.16141958
DA80,34.16446001,-0.417133923,4,1414,29,-0.408679607,34.16141958
DA82,34.16441843,-0.415688923,8,1415,29,-0.408679607,34.16141958
DA83,34.1647336,-0.414544586,4,1416,29,-0.408679607,34.16141958
DA79,34.16461001,-0.411337201,6,1417,29,-0.408679607,34.16141958
DA58,34.16181388,-0.411706628,10,1418,29,-0.408679607,34.16141958
DA59,34.16126075,-0.411741407,7,1419,29,-0.408679607,34.16141958
DA60,34.1608565,-0.411496414,8,1420,29,-0.408679607,34.16141958
DA61,34.1611845,-0.410511006,16,1421,29,-0.408679607,34.16141958
DA57,34.16201001,-0.410493002,7,1422,29,-0.408679607,34.16141958
DA75,34.16166827,-0.409599779,8,1423,29,-0.408679607,34.16141958
